cleaned_comment,translate
"indonesia sedang ngk baik baik saja","terjemahkan id ke en: indonesia sedang baik baik saja baik baik saja baik baik"
"hampir citra prabowo hasil mjd tokoh pengaruh dunia tp negara utk rakyat quotndasmuquot 200 kecewa tinggal nunggu viralnya gera rakyat mahasiswa indonesia teriak adil mulai dr ucap quotndasmuquot lantang filter","quotndasmuquotkankankankanndas"
"d beli gas susah harga drastis d mbg d bangga2inmending d in beasiswa anak sekolah","terjemahkan id ke en: terjemahkan id ke en: kankan"
"baca komentar nya nyalahin pak jokowi nyambung","jokowi nyambung jokowi jokowi jokowi"
"ruwet ruwetttt ruweetttt","ruwetttt ruwetttt ruwetttt ruwetttt"
"wowo mash sandera wowi ubah","ubah id ke en: wowo mash sandera wowi ubah id ke en:"
"indonesia jelas gelap gulita karena asai orang2 sakit jiwa","terjemahkan id ke en: indonesiaaaaa terjemahkan"
"pimpin indo lucu lucu","lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu"
"rakyat indonesia sudah cerdas ini pasti pihak2 yg tidak suka indonesia maju sengkuni cs","indonesia sudah cerdas indonesia sudah cerdas indonesia sudah cerdas indonesia sudah cerdas indonesia sudah cerdas"
"nama y jga gemoooykerja y trll santai kep dwk bae","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"negara malu nibrmalu jabat p mimpin negara pahlawan2 dlu gugur mmprjuangkan negara trhdp jajah brjuang negara ni hancur nya mati nnti hukum siksa sngt pedih sengsara rakyat mati malaikat maut mengintai2 faham moga cepat malaikat aminn","id ke en: negara malu nibrmalu nibrmalu nibrmalu ni"
"korupsi lancar jaya periode","jaya periode 2015-2019 2015-2019 2015 2015 2015 2015"
"perintah boros salah perintah irit anggar demomahasiswa mau sie","aja terjemahkan id ke en: perintah boros salah perintah boros salah"
"jendral kok bawa cah idiot","idiot        "
"seret prabowo jalan","aja  terjemahkan id ke en: seret prabowo jalan jalan"
"salah fatal presiden adalah percaya truk solo brrakyatmu kecewaa","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"kecewa masyarakat adalah presiden percaya truk solo","terjemahkan id ke en:kan id ke en:kan id ke en:"
"udah kecewa 2 x pilih jokowi kecewa dg pilih prabowo","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"tenggelam gerindra 2029 siapbrsorry yee sorryyeesorry yee","sorry yee yee sorry yee sorry yee"
"yg udh pensiun jendral atau tri jangan jabat lagi kasih kepada yg muda2 biar bisa ber karier jangan kemaruk serakah","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"terlalu koruptor nya",""
"ayo adik2 maju pantang mundur benar adil lawan kedzaliman","ayo maju maju pantang mundur ayo maju pantang mundur terjemahkan id"
"su hastojd tangkap pdi bnyk ditangkep padahal kerja pdi","terjemahkan id ke en: su hastojd  terjemahkan id ke"
"cari kerja sulit gas elpiji langkasembako mahal bijak sertifikat tanah elektronik brdata ktp bocor bnyak disalahgunakan bgm dg sertifikat tanah apa g orgquot kuasa licik bs manipulasi tanahquot rakyat","kan id ke en: cari kerja sulitkan id ke en: cari kerja sulit terjemah"
"maju adik 2 tuntutanya tanggap","terjemahkan id ke en: maju adik 2 terjemahkan id ke en: maju"
"yang bilang gelap rocky garong","aja aja sih aja terjemahkan id ke"
"akibat puluh ribu rupiah indonesia gelap brsamber gelapbrbrjangan ngotot wo mas branbrbrsepuluh ribu otak beda otak rakyat brbranda main hemat tuju potensi korup kotormakan gratis potensi korup brbranda pilih asal makan gratis solusi satu lha didik dana pip sunat efesiensi belanja rakyat luasbrbrbrtentara gak bain rakyat pak wo pak wo","terjemahkan id ke en: akibat puluh ribu rupiah indonesia gelapkan id ke en:"
"ucap doabr2030 indonesia bubar","terjemahkan id ke en: ucap doabr2030kan id ke en:"
"moga adekadek mahasiswa lindung allah swt moga juang terang indonesia gelab","swt swt terjemahkan id ke en: swt swt "
"demo bayar mahasiswa bikinanya dajjal dajjal intelijen zionis yahudi israil kutuk laknatullah singapura kutuk laknatullah amerika serikat kutuk laknatullah bisa hancur lebur dibumihanguskan hancur oleh seluruh rakyat indonesia","bayar mahasiswa bikinanya bayar mahasiswa bikinanyakan id ke en:"
"pada mahasiswa turun demosemua rakyat indonesia hak dapat turun efektif dengar","..................."
"bagaimana indonesia tidak gelap brwong kabinet parbowodi isi orang orang kompeten bidangnyabrmacam noel mbelgedhes giring rafi ahmaddllbrgasut gasut","id ke en: bagaimana indonesia tidak gelap brwong kabinet parbowodikan id ke en"
"hahab hancur 98 yuk","yuk terjemahkan id ke en: hahab hancur 98 yuk terjemahkan id"
"nyata si wowo urat malubanyak omon omon","omon omon omon omon omon omon omon omon o"
"yg dukung omon omon mana ya 56","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"berani g wapres hadap mahasiswa suara","ajakankankan id ke enkan id ke enkan"
"macan lansia lg mumet ketawain mulyono dilema","aja aja  aja   a"
"indonesia gelap","terjemahkan id ke en: indonesia gelap gelap"
"kacau kau riak hidup rakyat hidup mulyono dasar wowo","aja sih.............."
"makanya papua ampaceh memerdekakn dirisdh tau model pimpin pimpin republik sumber kaya alam kuras rakyat hrs mngung hutang negara kerja susah bhn pokok mahal didik mahal hukum model hukum rimba negara spt iniini bkn negara tp ladang perampokampmafia","id ke en:kan id ke en:kan id ke en:kan id"
"kritik pake anarki demo bakar ban bikin macet ekonomi ganggu","terjemahkan id ke en:kan id ke en:kan id ke en:"
"wowo cuman omong kosong mulut gede tpi zonk","terjemahkan id ke en: wowo terjemahkan id ke en: wowo"
"rakyat tdk ubah cari makan cari kerja susah usaha susah presidenturun rakyat perintah apa2 bikin sulit rakyat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"habis gelap terbit gulitahabis ijazah palsu terbit omon omon nasib ohh nasib","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"bagus indonesia teng ndedet","teng ndedet indonesia teng ndedet indonesia teng ndedet indonesia "
"yu gabung pake hukum rimba ajah karna pmerintah milik asing","terjemahkan id ke en: yu terjemahkan id ke en: yu terjemahkan"
"apa g pro rakyat","aja sih aja sih aja aja"
"preeettt lah kerja pdip siapa lagi tinggal masyarakat aja yg bodoh tinggal kasih nasi bungkus juga pasti di suruh demo apa mau","terjemahkan id ke en: preeetttkan id ke en: pree"
"indonesia baik2 efisiensi anggar tp sengsara rakyat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"anak muda mental tempe gelap","terjemahkan id ke en: anak muda mental tempe gelap terjemahkan id ke en"
"indonesia bahayaindonesia gelapterutama gelap generasi mudamengapanegara lilit utangsementara rakyat hilang kedaulatantanah rakyat pake pabriklaut dikavling kavlinglalu pukul tinggi harga barang butuh hidp","terjemahkan id ke en: indonesia bahaya terjemahkan id ke en: indonesia bahaya"
"ahahahah ngapain mudah giring opini pakai data data tipiss ealahhh rakyat indo indonesia baik negara maju kok judul suram kusam klw ngak suka indonesia malu indonesia siksa indonesia kalian uar negara ini kalian rasa hidup negara ngk enak seman tonton internetttt","id ke en:"
"pusing ya program sendirijogedin ajalhok gasok gas","ajalhok gasok gasok gasok gasok gasok gasok gasok gas"
"efek pilpres curang ya sial jafinya masih 100 hari perintah sdh di gruduk mahasiswa isyarat ind gelap gulita","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"halah milih2sendiri maksa program paparkansekarang gelisahgi nya","terjemahkan id ke en: halah terjemahkan id ke en: halah"
"oprasional macet bela perut","terjemahkan id ke en: oprasional terjemahkan id ke en: op"
"padahal demo anak koruptor weh weleha hrefuckszu2wh9gy1mb0dv11ujgxsify4oqcd2t29sp54iasawaa hrefuckszu2wh9gy1mb0dv11ujgxsify4oqcd2t29sp54iasawaa hrefuckszu2wh9gy1mb0dv11ujgxsify4oqcd2t29sp54iasawateu maca dinu poek","terjemahkan id ke en: padahal demo anak koruptor bukan demo anak koruptorterjemah"
"silah ngancan demo lbh rakyat pro perintah lbh lipat lipat manfaat gelintir kelompok acau jalan penerintahantangkapin pak prabowo jgn spt jkw biar","terjemahkan id ke en:kan id ke en:kan id ke en:"
"gejala negara gagal","terjemahkan id ke en: gejala negara gagal terjemahkan id ke en: gejala negara"
"presiden pro rakyat akibat bijak presiden sblmnyadan lanjut pulak prabowo hancur habis habis mampuuda turun aja pimpin indonesia kaya","terjemahkan id ke en: presiden pro rakyat terjemahkan id ke en: presiden"
"harga harga mahal","harga murah harga murah harga murah harga murah harga murah  harga murah harga murah harga murah"
"wowo nilai mmg 11 dr 100dikira maung meongbisanya omonomon","terjemahkan id ke en: wowo terjemahkan id ke en: wowo"
"muak politik smua mua nya puluh merdeka bangun jalan aja rusak mulu","terjemahkan id ke en: muak politik terjemahkan id ke en: mu"
"harus potong tiada gaji pensiun anggota dprmasak jabat 5 10 tahuntapi pensiun mati","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"selamat pilih presiden gemoy rasa akibatnyanasibnya rubah anies baswedan pilih gerombol jokowi ijazah palsu","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"mulyno ketar tir munculah ternak","aja aja kan? terjemahkan id ke en: mu"
"prbowoo nikmat waris mulyono ok gas ok gas"," terjemahkan id ke en: prbowoo terjemahkan id ke"
"orang2yg bilang indonesia baik2 maklumya didik rendah makaa pikir jg rendah tapi klo orang 2 didik minimalmnya sma derajat mahasiswa pikir wawas cerdas klo omong pikir bicara balik orang2 rendah pemikiranya omong dulubicara dlu mikirnya beda orang cerdas orang cerdas didik jls pengaruh pola pikir sutu negara klo orang erdas2 maju krn pemikiranya klo orang2nya pikir rendah2 mudah tipu mudah bodoh mudah alat nggak negara maju maka orang2 cerdas bilang negara baik2 sajamemang benar mas bromohon maafdan maklum"," terjemahkan id ke en:kan id ke en:kan id ke"
"rakyat gelap gulita era soeharto sby","surabaya terjemahkan id ke en: rakyat gelap gulita sby s"
"siapa hayo dukung no 2 presiden pilih mulyono","aja... terjemahkan id ke en: terjemahkan id"
"demi tuhan nyari suap nasi susah tenaga kontrak sampe pincangpincang nyari suap nasi","terjemahkan id ke en: demi tuhan terjemahkan id ke en: demi "
"percaya presidendan aktivis 98 jabat aja 100 koruptorperampok negaradan antek2 asing gelap kurupsi indonesiayang usaha rusuh","terjemahkan id ke en: percaya presidendan aktivis 98 jabat aja 100 korup"
"jelas gelap presiden sepuh wakil kencur didik rendah wawas blas harap","terjemahkan id ke en: jelas gelap terjemahkan id ke en: jelas gelap"
"makin tinggal negeri gelap khawatir ngak lihat jatuh","terjemahkan id ke en: makin tinggal negeri gelap:: makin tinggal negeri gelap"
"kata temen orang singapore indonesia pungli","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"di bahan kemarin ribut pilpres 2029","(dibaca: 159). terjemahkan id ke en: di bahan"
"gerombol pesimis"," terjemahkan id ke en: gerombol terjemahkan id ke en"
"putus asa yabrwoy bangunnbrberprasangka","a terjemahkan id ke en: putus asa yabrwoy a"
"revolusi","terjemahkan id ke en: revolusi terjemahkan id ke en: revolusi "
"anjay buzzer bayar samaiklan judol saing","terjemahkan id ke en:  terjemahkan id ke en: terjemah"
"gak menghawatirkanpemikiran tudak dukung penuh kebija kk an pk prabowo","terjemahkan id ke en: gak menghawatirkanpemikirankan terjemahkan"
"mending jajah belanda atw jepang brkrn klw anda jajah dr sdh negara jepang px tecnologi lbh maju px mobil motor buat negara sensiri krn negara sdh negara jepang dr pd jajah perintah","kan id ke en:kan id ke en:kan id ke en:kan"
"hatiquot asing suka indomesia bangkit tagarquot model sperti buat manusia indonesia bangkit bnyk penghianat bangsa antekquot asing suka indonesia maju jgn percaya tagarquot buat manusia","id ke en: terjemahkan id ke en:kan id ke en:kan"
"inti nyari presiden berani buka lowong kerja senanyak2nya gin udah gitu aja","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"semua gara2 bnyk hutangdan ulah s mulyonodan skrng dampak nya","nya.  nya. nya nya  nya"
"buntut jg tunggu prabowo turunada mk ank jokowi ide nj","kan id ke en:kan id ke en:kan id ke en:kan"
"lagi rakyat gas lpj dampak langsung rakyat harga2 dampak langsung rakyat pecat bahlil","terjemahkan id ke en: lagi rakyat gas lpjkan id ke en:"
"bola nya gelap setel pabrik","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"ruwet abadi","abadi terjemahkan id ke en: ruwet abadi abadi terjemahkan id ke en:"
"bijak rata2 pro barat timur gagas bijak unsur penting buruk","terjemahkan id ke en: bijak rata2 pro barat timur terjemahkan id ke en"
"apa bijak keluar tuju kritisi awas","awas awas awas awas awas"
"upah diindo minim murah sgg banding biaya hidup bikin rkyat sengsara klompok elit mkin kaya rkyat tindas ekonomi memperihatinkan","terjemahkan id ke en:kan terjemahkan id ke en:kan"
"kabur aja dulubr indonesia gelapbr henti bayar pajak brbiar macet perintah","bayar pajak br bayar pajak brkankan id ke en: terjemah"
"pak prabowo manja konco2 nya kampanye pilpres rakyat bukti kabinet gemuk libat stafkusus kompeten","aja sih aja sih terjemahkan id ke en:"
"nabi shallallahu alaihi wa sallam sabda brbr brbrwajib dengar taat ulil amri muslim perkara suka benci perintah maksiat apabila perintah maksiat wajib dengar taatalbukhari7144brbr yakni taat perintah buat maksiat br bukan taat ulil amri total tentang berontak tidak karena nabi shallallahu alaihi wa sallamtelah berpesanbrbr brbrbarangsiapa pimpin kemungkarankemungkaran dia benci sabar taat karena orang pisah jamaah kaum muslimin jengkal mati kecuali mati mati jahiliyyahalbukhari7143","id ke en: terjemahkan id ke en:kan id ke en:"
"wowo tiru tuan nya wiwi pake jurus ngibul dan tipu2","terjemahkan id ke en: wowo terjemahkan id ke en: wowo "
"demo hemm","         "
"ayuh demo protes rusuh ricuh bentrok bakar bakar bakar","bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar bakar"
"pergi mulyono eh paijo"," terjemahkan id ke en: terjemahkan id ke en: "
"tidak percaya gemoy kabinet bikin no hope gelap ingat 98 orang nya presiden ri 2 percaya gelaaap endas","terjemahkan id ke en:kan id ke en:kan id ke en:"
"kami rakyat prabowo terang",""
"dari segi spiritual tuju tema demo mahasiswa quotindonesia gelapquot trauma gempa pulau nias teman suka alir music cadasunderground tema quotmari gelap arti warnaquot gempa 82 sr moga buruk timpa","kan id ke en:kan id ke en:kan id ke en:kan"
"seperti nilai 11 100 brmemang"," aja sih aja  terjemahkan id ke"
"situasi ulah mulyono ugalugalan ngutang","ajaalan ajalualanalan aja"
"minggu pidato kemarin pidato pidato pidato pidatokerja pidatopidato rakyat susah makan susah kerja susah bahagia menteri jabat anggota dpr parautusan khususkaya taaaeini","terjemahkan id ke en: minggu pidato kemarin pidato pidato pidato pidato pidato pidato pidato pidato"
"lanjut indonesia gelap gelap anggur membludak phkan marak nyari kerja negri tetangga mati tembak pajak tingkat rakyat melarat","terjemahkan id ke en: lanjut indonesiakan indonesiakan indonesiakan indonesia"
"coba indonesia umr nya sesuai indonesia indonesia susah maju perintah manusia rakyat nya","nya terjemahkan id ke en: coba indonesia nya terjemahkan id ke"
"efisien si apbn grusagrusu mesti dihitunghitung pikir cermat grusagrusu tk","ke en: terjemahkan id ke en: terjemahkan id ke en: "
"bangun pemuda bangsa tegak benar sekuat2nya bangsa darurat mana depan suram tdk tolong diri orang2 tua msh waras","id ke en:kan id ke en:kan id ke en:kan id"
"la pro rakyat pro pejabat2 hehehe gara2 angaran asn pangkas brskrng indonesia mafia mediapolitik media seolah2 sakit trus narasi ya","terjemahkan id ke en: la pro rakyat pro rakyat pro rakyat pro rakyat pro rakyat pro"
"kalau kabur enak jabat korup negara bangsa indonesia moyang juang darah nyawabrmari satu bantai koruptor undang dasar negara lembek jabat hukum rame","terjemahkan id ke en: terjemahkan id ke en:kankan"
"tangkap jokowi makzulkn gibrandn resafel tri d era mulyono","agus agus agus  agus agus a"
"saya prediksi pimpin periode jokowi jabat dlmnya keluarga utk tiap posisi pimpin skrg bgtu aduhhh nkri","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"indonesiagelap wakil rezim lanjut dg wapres fufufafa kabinet gemoy","gemoy gemoy terjemahkan id ke en: indonesiagelap"
"ya kebaya tri bos","terjemahkan id ke en: ya terjemahkan id ke en: ya "
"kami warga desa dukung mbg ringan wali murid uang saku jam 1300 msh seko anak 3 butuh makan siang seko","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kmarin tagar adil jokowisekarang indonesia gelapsehat slalu pa prabowo lanjut nkri","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"tuju indonesia cemas","indonesia tuju indonesia cemas indonesia cemas indonesia cemas indonesia cemas indonesia cemas indonesia cemas indonesia cemas indonesia cemas"
"bijak pro keluiarga aguan mulyono","aguan mulyono aguan mulyono aguan mulyo"
"publik dah puas kalian amat","terjemahkan id ke en: publik dah puas kalian amat amat amat amat amat"
"bodoh dah terang terang prabowo pro rakyat oi tri gemuk salah nya anggota dpr biaya siapa layak presiden ingat g suka prabowo wajar aku pilih menang kritik","kan id ke en:kan id ke en:kan id ke en:kan"
"baru mahasiswa bsom rakyat turun jalan","aja. terjemahkan id ke en: terjemahkan id ke en"
"bijak perintah an pro rakyat tahan ngapain makan gratis kalau sengsara tri buruk perintah prabowo untung 5000 gas aja hitung korupsi 370 triliun gigit jari pantas ancur negara parah","terjemahkan id ke en: bijak perintah ankan id ke en: bijak perintah an"
"fufufa idiots mulyono raja ngutang ngibul n begal nasab paket agen intelegen hitam pki n rrc u hancur nkri dg adu domba ngibuln kbodohan n garong kkyaan bngsa biadab hukum mati pnghianat bngsa","id ke en: fufufakan id ke en: fufufa"
"berisik ga jelas di jabar adem2 aja","aja aja aja aja aja a"
"mungkin pikun kata tindak","terjemahkan id ke en: mungkin pikun kata tindakkan id ke en: mungkin"
"hidup rakyat nkri hancur musnah jokowi dinasty nya","terjemahkan id ke en: hidup rakyat nkri hancur musnah terjemahkan id ke"
"the next paradox in the making","terjemahkan id ke en: terjemahkan id ke en: kan"
"dunia usaha lesu omset jual turun minggu minggu parah","terjemahkan id ke en: dunia usaha lesu terjemahkan id ke en:"
"11 12 jokowi","jokowi jokowi jokowi jokowi jokowi"
"ok gasok gaasss","terjemahkan id ke en: ok gasok gaasssssssssss"
"lapang kerja asing cina","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"hrsnya hidup rakyat indonesia bkn hdp jokowijd rakyat campak bgtu sjaakhirnya bgini dah sllu gaduh","terjemahkan id ke en: kan id ke en:kan id ke en"
"lapangankerja 19 jt juta terima th 2025 menaker siap jadwal penerimaannyajangan omon2 menteri","kan id ke en:kan id ke en:kan id ke en:kan"
"muaksaya beresidenbgada baik ya"," terjemahkan id ke en: muaksaya ksaya be"
"buzzer prabowo presiden sah","................ "
"dulu kampanye ngomongnya makan siang gratis mbg program bikin pusing","terjemahkan id ke en: terjemahkan id ke en:kankan"
"nan","terjemahkan id ke en: nanangangangkan id ke en:"
"nan","terjemahkan id ke en: nanangangangkan id ke en:"
"gara gara gas","terjemahkan id ke en: gara gara gas terjemahkan id ke en"
"indonesia darurat","terjemahkan id ke en: indonesia darurat indonesia darurat terjemahkan idkan id ke"
"perintah omon2curhat mulu kerja nya","terjemahkan id ke en: perintah omon2curhat terjemahkan id ke en"
"mahasiswa selamat juang selamat nkri gelap","juang juang juang juang juang juang juang juang juang "
"indonesia gelap brsaya keluarga baikbaik brbrtolong tangkap aktor amp dalang balik"," terjemahkan id ke en: indonesia gelap terjemahkan id ke en:"
"partai demo sudah ya"," terjemahkan id ke en: partai demo sudah ya ya ya "
"saya orang kampung kuatir resah rakyat kampung indah bahagi biarpun tani perintah pihak rakyat pingin hidup damai tani","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kenapa pilih prabowo milu","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"demo kriminal beda tipis"," terjemahkan id ke en: demo kriminal beda tipis tipis terjemahkan id"
"ini mau mulyono biar prabowo jebak percaya mulyono bicara palsu omong kosong sengsara rakyat maru mulyono bukti tuju fufufafa presiden hati2 pak prabowo","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"rakyat satu dukung adik2 mahasiwaburuh cendikiawan intelektualdemi negri sejateta","terjemahkan id ke en: rakyat satu dukung adik mahasiwa rakyat satu dukung"
"publik malas gampang kompor","terjemahkan id ke en: publik malas gampang kompor terjemahkan id ke en"
"prabowo benah smpai turun rakyat samsul jdi presiden ogahhhh banget gw ancur dahhh","hhhhhhhhhhhhhhhhhhh"
"bravo mahasiswa 5 tuntut rasional","tuntut rasional mahasiswa 5 tuntut rasional mahasiswa 5 rasional mahasiswa 5 rasional mahasiswa"
"maka nya henti kangibran mbg","mbg mbg terjemahkan id ke en: mbg"
"wowobelajar poltik dr mulyonoartinya lanjut dungu","terjemahkan id ke en: wowo terjemahkan id ke en: wowo"
"yang kerja sekolah luar ya silah sdh makmur ya enak pulang minggat minggat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"yg kena potong anggar ngamuk","aja terjemahkan id ke en: terjemahkan id ke en:"
"yang gelap was was takut niye","terjemahkan id ke en: yang gelap terjemahkan id ke en: yang gelap"
"mau negeri prabowo periode","(dia) (dia)). terjemahkan id ke"
"sy rasa hidup sulit perintah jokowi kasi anak terus","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"miris warga konoha net pilih pimpin bikin kondisi besok bikin agama negara dsb","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"ken pindah negara"," terjemahkan id ke en: ken pindah negara  terjemahkan"
"prabowo ya jokowi jokowi ya prabowo ngertio lee","terjemahkan id ke en: terjemahkan id ke en:  "
"salah jalan bain mul salah ngomong ndasmu salah aksi efisiensi salah strategi u jd pres lg pdhal br 100 hr lbh kerja","kan id ke en: salah jalan bain mulkan id ke en: salah jalan"
"prabowo serius berantas korupsi blunder sanjung usak bangsa jokowi csbangsat ingat rakyat muaktidak takut apa","ahok ahok ahok ahok ahok ahok"
"bodoh rakyat anggar kurang ngeri ngeri dazal emqng negri ku sekarat","terjemahkan id ke en: bodoh rakyat terjemahkan id ke en: bodoh rakyat"
"hati hati media agen asing"," terjemahkan id ke en: terjemahkan id ke en: "
"buat bangun ikn hemat","hemat  hemat  hemat hemat terjemahkan id ke en: terjemahkan"
"makin kisruhseperti negeri konoha","kisruh kisruh kisruh kisruh kisruh"
"turun prabowo wapres nya","nya................."
"terus juang penting rakyat","juang rakyat juang rakyat juang rakyat juang rakyat juang rakyat juang rakyat "
"nda hancur indonesia"," terjemahkan id ke en: indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia"
"sabar perintah jg jalan baik rusa mudah rusak nya tahun","terjemahkan id ke en: sabar perintah jg jalan baik"
"wapresnya nggak mutuyg gelaaap","nya.................."
"tu pimpin pilih 85 persen","terjemahkan id ke en: tu pimpin pilih 85 persen  terjemahkan id ke"
"masa sih",""
"yg gelap indonesia tapi demo gelapjangan bawa2 rakyat belekok dasar dableg","terjemahkan id ke en: yg gelap indonesia tapi demo gelapkan id ke en:"
"rezim ndasmu","terjemahkan id ke en: rezim ndasmumu terjemahkan id ke en:"
"siapa bkg cermin perintah yg tdk pro rakyathei kamu ini pki atau jilat semua yg laku presiden utk rajyat bukan utk org2 yg buta hati","terjemahkan id ke en: siapa bkg cermin terjemahkan id ke en:"
"makan siang gratis msg micin"," terjemahkan id ke en:kan id ke en:kan id ke"
"terlalu negri imbas rakyat hidup kerja makan karena tidak niat hati allah pimpin negara","terjemahkan id ke en: terlalu negri terjemahkan id ke en: terlalu"
"kasihan mahasiswa tunggang politik sakit hati orang tua waspada anak anak mahasiswa korban penting elit politik sakit hati arah tragedi 98 waspada waspada","id ke en: kasihan mahasiswa terjemahkan id ke en: kasihan mahasiswa korban penting"
"blum bukti prabowo jd presiden bijak cm makan gratis","terjemahkan id ke en:kan id ke en:kan id ke en:"
"yang khawatir nampak muka kalau realitas sih harap","terjemahkan id ke en: yang terjemahkan id ke en: yang "
"indonesia bangkrut quotstop bayar pajak quot","quot quot quot quot quot quot"
"pecaaatttt gibran bahlul","terjemahkan id ke en:aaaaaaaaaa"
"turun fufufafa","terjemahkan id ke en: turun afafafaa"
"keburu org indonesia negatif tingking pimpin gimana indonesia maju model gin org org intlek cermin bodoh bijak salah salah mau hadehhhh dasar org indonesia gampang dibodohin diri tutup didik aja bodoh bermanfaatbrbraku rakyat kuli bangun aja sedih ngliat pikir org indonesia didik","id ke en: terjemahkan id ke en: terjemahkan id ke en"
"harus nya saat dpr gerak pikir nasib rakyat wakil rakyat diam gilir renupasi ribut gilir urus imbas rakyat diam payah dpr","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"prabowo harus segera buang tri tri yang berhianat gerogot dari dalam","terjemahkan id ke en: prabowo terjemahkan id ke en: pra"
"korban makan siang gratis","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"indonesia gelap gara2 mulyono hutang",""
"awal efisiensi melayoff wapres","terjemahkan id ke en: awal efisiensi melayoff wapres ke en: awal"
"gelap dan penuh tidak pasti madesu lihat wapres nya bagong","nya aja gak jelas nya aja gak jelaskan"
"sayah rakyat kerja hari lepas brgajih 60 rbbrperhari anak 2 sma mondok dnsatu lgi mi madrasah alhmdulilah makan dn biaya anak aja alhmdulilah klo slalu brsyur slalu jln kluar dn bri kmudahan mha kuasa","kan id ke en: terjemahkan id ke en: terjemahkan id ke en:"
"tragedi 98 jilid 2 seret eksekusi mati pimpin","98 jilid 2 98 jilid 2 terjemahkan id ke en: 98 jilid 2"
"yg demo juta jilid jilid ngaruh receh nk","aja aja gan aja aja gan"
"nkri suram","kri suram suram terjemahkan id ke en: nkri suram suram"
"jangan buru buru hakim nikmat proses petik hasil","terjemahkan id ke en: jangan buru buru hakim nikmat proses petik hasil"
"yo mbalek jaman harto ae perintah pimpin prabowo jln dema demo ae berita yutub gitu beh ra karu karuan","terjemahkan id ke en: yo mbalek kan id ke en:"
"gmna gelap 10 pimpin mulyono skrg prabocor gendeng nyabrbrnegeri negeri kutuk sdm mimpi sama2 hancurr","terjemahkan id ke en:kankankankan terjemahkan"
"sudah prabowo menang jokowi grindra panggung jokowi fakta kader buang pdip gelar dr occrp jelas amarah rakyat gema krn perintah anggap lanjut dr rezim jokowi","jokowi jokowikan id ke en:kan id ke en:"
"rusak nya negara pimpin ahli nya","nya. nya. nya nya terjemahkan id ke en"
"baru njabat presiden bikin resah nga becus macan asia eh terkam rakyat bazzer bazzernya kerja hancur bobrok negara","terjemahkan id ke en:kan id ke en:kan id ke en:"
"mbg blm meratadi kabupaten wonogiri blm sentuh mbg"," terjemahkan id ke en: terjemahkan id ke en: "
"harus orang tua murid kerja amp hasil bagus kalo orang tua hasil bagus otomatis anak makan gizi anak keluarga manfaat orang tua hasil bagus brjangan bilang anak seko kasi makan gratis orang tua paksa tahan lapar hasil rendah sulit kerja amp biaya hidup","id ke en: terjemahkan id ke en: terjemahkan id ke en:"
"prabowo raja angga karna sang ksatria jokowi duryudana licik","terjemahkan id ke en: prabowo raja angga karna sang ksatria joko"
"tau mahasiswadiprovokator lsm asing","aja sih.............."
"welcome ember jilat","ember jilat jilat  jilat jilat ji"
"om wowo pleciden ndaaasmuwakinye waplerfufufafacukongnyemulyonoal corrupt 2 duniaomon2 bela rakyatha ha ha ndaaasmu bela rakyaat","ke en: om wowo terjemahkan id ke en: om wowo terjemahkan"
"hancur negara ulah si si wiwi si wowo","terjemahkan id ke en: hancur negara ulah si si wiwi si wowo "
"yang gelap demodemo tuh dpr sahkan undang2 ampas aset biar hasil rakyat berani","terjemahkan id ke en: yang gelap terjemahkan id ke en: yang gelap"
"prabowo jokowi akur hidup ternak onta ternak banteng gelap tangan kpk","jokowi jokowi jokowi jokowi jokowi joko"
